,Title,Price,Brand,Model,Reg_Date,Km,Condition,Capacity,Type,Location
9877,"  CẦN BÁN XE YAMAHA NOZZA GRANDE , XÁM NHÁM RẤT ĐẸP",22.800.000 đ ,Yamaha,Grande,2015,20000,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9878,  Honda Cbf125cc hàng chất lượng cao.,21.500.000 đ ,Honda,CB,2013,14000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,Sóc Trăng
9879,  VESPA 3Vie 2013 bstp chính chủ,18.500.000 đ ,Piaggio,Vespa,2013,12546,Đã sử dụng,Dưới 50 cc,Tay ga,Sóc Trăng
9880,"  Ai thiện chí liên hệ sđt ,giảm nhẹ cafe",37.000.000 đ ,Honda,Air Blade,2021,6675,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9881,  bán Honda Dream 100 màu nâu đời 1999 bstp xe rin,68.000.000 đ ,Honda,Dream,1999,29000,Đã sử dụng,100 - 175 cc,Xe số,Sóc Trăng
9882,  Honda Wave RSX fi bstp mâm đĩa.,10.500.000 đ ,Honda,Wave,2014,23456,Đã sử dụng,Dưới 50 cc,Xe số,Sóc Trăng
9883,  Piago 125 fi  bstp máy rin kg hao xăng,12.000.000 đ ,Hãng khác,Dòng khác,2012,5000,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9884,  xe như mới bs65 ngây chủ,28.500.000 đ ,Honda,Winner X,2022,10,Đã sử dụng,100 - 175 cc,Xe số,Sóc Trăng
9885,  Supper 1998 bstp full option có nhận giao lưu,24.800.000 đ ,Honda,Dream,1998,10000,Đã sử dụng,100 - 175 cc,Xe số,Sóc Trăng
9886,  Exciter 2013 dọn spark (hỗ trợ trả góp),28.000.000 đ ,Yamaha,Exciter,2013,12345,Đã sử dụng,100 - 175 cc,Tay côn/Moto,Sóc Trăng
9887,  XM Mạnh Tường - NVX V2 155 ABS 2021 giá 42.5tr,42.500.000 đ ,Yamaha,Nvx,2021,10000,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9888,  Honda Click Thái 2017 khoá smarkey bstp 9 chủ,57.500.000 đ ,Honda,Click,2017,18000,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9889,  Can bán ex 135 xuống áo 2010 bstp,18.800.000 đ ,Yamaha,Exciter,2012,21363,Đã sử dụng,100 - 175 cc,Tay côn/Moto,Sóc Trăng
9890,"  Super Cup 2022 ,đồng hồ điện tử, đèn led thắng đĩa",10.600.000 đ ,Honda,Cub,2022,5000,Đã sử dụng,50 - 100 cc,Xe số,Sóc Trăng
9891,  Can Ban,51.000.000 đ ,Honda,PCX,2015,40000,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9892,  Vison Xe Chính Chủ Cần Bán,23.900.000 đ ,Honda,Vision,2018,11000,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9893,  AB đầu bò may zin az bs 95,15.800.000 đ ,Honda,Air Blade,2013,19000,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9894,  Sh vn 125 Fi xe chạy lướt,46.200.000 đ ,Honda,SH,2012,300000,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9895,"  81,đời đầu chính chủ",7.500.000 đ ,Honda,Cub,1997,123456,Đã sử dụng,Dưới 50 cc,Xe số,Sóc Trăng
