,Title,Price,Brand,Model,Reg_Date,Km,Condition,Capacity,Type,Location
0,  SH 125/150 các đời. biển 43 có trả góp ✅✅✅,45.800.000 đ ,Honda,SH,2022,10000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"
1,  Bán Vespa Sprint 150 cổ (08) chuẩn,48.000.000 đ ,Piaggio,Vespa,1998,336688,Đã sử dụng,100 - 175 cc,Xe số,"Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng"
2,  Sh 150 ABS biển 43 đã full nguyên xe ý,82.800.000 đ ,Honda,SH,2019,2,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"
3,  Bán Custom 70 chữ nổi nguyên rin,58.000.000 đ ,Honda,Cub,1998,33123,Đã sử dụng,100 - 175 cc,Xe số,"Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng"
4,  Xe ab còn mới biển số 43 chính chủ,13.500.000 đ ,Honda,Air Blade,2012,9000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"
5,  29999999 VESPA GTS 3vie chính chủ BSSG,29.999.999 đ ,Piaggio,GTS,2014,13000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh"
6,  ab 2010 fi lên full thái bstp chính chủ,22.500.000 đ ,Honda,Air Blade,2010,1,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh"
7,  Can ban deam long zin,4.900.000 đ ,Hãng khác,Dòng khác,2001,35,Đã sử dụng,100 - 175 cc,Xe số,"Xã Tây Hoà, Huyện Trảng Bom, Đồng Nai"
8,"  Xe GPX DEMON 150GR, xám trắng",25.000.000 đ ,GPX,Demon 150GR,2019,17000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Phường Vĩnh Phước, Thành phố Nha Trang, Khánh Hòa"
9,  vespa fi biển 61. xe dọn mới hồng cá tính máy zin,12.800.000 đ ,Piaggio,Vespa,2012,39000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh"
10,  Can bán honđa fuutre neo binh xăng,19.800.000 đ ,Honda,Future,2007,31,Đã sử dụng,50 - 100 cc,Xe số,"Xã Tây Hoà, Huyện Trảng Bom, Đồng Nai"
11,  Tình trạng đang đấp mền p,20.000.000 đ ,Honda,Winner,2018,30,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"QL.51, Phường Tam Phước, Thành phố Biên Hòa, Đồng Nai"
12,  Ab 2019 chìa khoá bstp chính chủ,33.000.000 đ ,Honda,Air Blade,2019,2,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh"
13,  winer biển 72 máy zin đi PXL ngoại hình đẹp,16.800.000 đ ,Honda,Winner,2016,39000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh"
14,  yamaha exciter 150cc 2015 xanh gp xe zin 1 đời chủ,18.000.000 đ ,Yamaha,Exciter,2015,22000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh"
15,  raider fi dki 2018,30.000.000 đ ,Suzuki,Raider,2018,18000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Chùa An Nội,, Xã An Nội, Huyện Bình Lục, Hà Nam"
16,"  Xe lead nguyên bản chưa từng sửa chữa, thay thế",28.500.000 đ ,Honda,Lead,2017,330000,Đã sử dụng,100 - 175 cc,Tay ga,"Hữu Hoà, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội"
17,  vision 2017 3s tắt máy mau ko đạp bstp chính chủ,25.500.000 đ ,Honda,Vision,2016,1,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh"
18,  CẦN BÁN XE BONUS ZIN CÒN ĐẸP 95%,6.000.000 đ ,SYM,Bonus,1997,50000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai"
19,  Bán exiter 135,16.500.000 đ ,Yamaha,Exciter,2017,666666,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Phường Dư Hàng Kênh, Quận Lê Chân, Hải Phòng"
20,  satria 2019 bstp đỏ đen ít đi bảo dưỡng kỹ,28.800.000 đ ,Suzuki,Satria,2019,11000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Phường 1, Quận 3, Tp Hồ Chí Minh"
21,  Xe SH125 ABS 2019 Trắng . BSTP chính chủ ODO 6.000,75.000.000 đ ,Honda,SH,2019,6000,Đã sử dụng,50 - 100 cc,Tay ga,"Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh"
22,  airblade 2008 biển 60 máy chất . xe còn rất đẹp,8.800.000 đ ,Honda,Air Blade,2008,39000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh"
23,  ab bs 72 Cần bán hoặc Gl xe khác.,10.300.000 đ ,Honda,Air Blade,2008,4377,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Phước Nguyên, Thành phố Bà Rịa, Bà Rịa - Vũng Tàu"
24,  Bán pcx 150 2019,55.500.000 đ ,Honda,PCX,2019,1,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Quang Vinh, Thành phố Biên Hòa, Đồng Nai"
25,  CBR 250 RR sport .phanh ABS✅Đồng Motor 2 Đà Lạt✅,110.000.000 đ ,Honda,CBR,2021,23,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Phường 2, Thành phố Đà Lạt, Lâm Đồng"
26,  Sh150 CBS 2018(xe đẹp)✅Đồng Motor 2 Đà Lạt✅,77.000.000 đ ,Honda,SH,2018,32323,Đã sử dụng,100 - 175 cc,Tay ga,"Phường 6, Thành phố Đà Lạt, Lâm Đồng"
27,  Exciter 155 2022 ✅Đồng Motor 2 Đà Lạt✅,36.000.000 đ ,Yamaha,Exciter,2022,10,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Phường 6, Thành phố Đà Lạt, Lâm Đồng"
28,  Xe máy Tuấn Anh thu mua xe cũ đã qua sử dụng,68.686.868 đ ,Honda,SH,2021,8000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Láng Thượng, Quận Đống Đa, Hà Nội"
29,"  CHUYÊN BÁN SH VIỆT NAM XE LƯỚT( 2016-2019),CỰC ĐẸP",68.868.000 đ ,Honda,SH,2019,100,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Láng Hạ, Quận Đống Đa, Hà Nội"
30,  Honda 2 Thì 50cc xe nội địa nhật mới 99% Giá 20tr,20.000.000 đ ,Honda,Giorno,2009,2347,Đã sử dụng,100 - 175 cc,Tay ga,"Hẻm 65 Hoàng Văn Thụ, Phường Quảng Phú, Thành phố Quảng Ngãi, Quảng Ngãi"
31,  ab 2011 fi pbdb sơn 3d bstp chính chủ,19.600.000 đ ,Honda,Air Blade,2011,1,Đã sử dụng,50 - 100 cc,Tay ga,"Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh"
32,  Bán Xe Wave S Đang Chạy,9.850.000 đ ,Honda,Wave,2014,20000,Đã sử dụng,100 - 175 cc,Xe số,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh"
33,  Yamaha Luvias 125cc,11.000.000 đ ,Yamaha,Luvias,2011,36000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Tân Chính, Quận Thanh Khê, Đà Nẵng"
34,  Bán xe honda PCX 125 nhập thái,21.500.000 đ ,Honda,PCX,2011,33333,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Dư Hàng Kênh, Quận Lê Chân, Hải Phòng"
35,  Xe airblade,14.000.000 đ ,Honda,Air Blade,2017,50000,Đã sử dụng,100 - 175 cc,Tay ga,"Xã Nam Phú, Huyện Tiền Hải, Thái Bình"
36,  Xe Vespa 125 nát bán giá sắt vụn,1.000 đ ,Piaggio,Vespa,2006,999999,Đã sử dụng,100 - 175 cc,Tay ga,"Xã Đồng Tiến, Huyện Triệu Sơn, Thanh Hóa"
37,  Ex 150 biển 69 xe đẹp máy zin cực chất,18.800.000 đ ,Yamaha,Exciter,2016,29000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh"
38,  vision 2012 fi bstp 22822 giấy tờ đầy đủ bao tchap,16.900.000 đ ,Honda,Vision,2012,1,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh"
39,  Bán xe Honda airblade 125,24.500.000 đ ,Honda,Air Blade,2015,123456,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Dư Hàng Kênh, Quận Lê Chân, Hải Phòng"
40,  cần bán GSX R150 bản Cao cấp ABS,36.000.000 đ ,Suzuki,GSX,2020,7000,Đã sử dụng,50 - 100 cc,Tay côn/Moto,"Phường Linh Xuân (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh"
41,  luvias máy cực êm áo đẹp biển 86 xe sạch sẽ,8.800.000 đ ,Yamaha,Luvias,2013,39000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh"
42,  Cần bán xe Dream LD giấy tờ đầy đủ biển số TP,5.500.000 đ ,Honda,Dream,2002,46967,Đã sử dụng,100 - 175 cc,Xe số,"Hẻm 310 Hiệp Thành 17, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh"
43,  Honda winner 2017 mới 90% bstp chính chủ,23.500.000 đ ,Honda,Winner,2017,5,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh"
44,  Vario 150 xe chạy lướt 9k km xe như mới,40.000.000 đ ,Honda,Vario,2019,9000,Đã sử dụng,100 - 175 cc,Tay ga,"Ấp Tây Bình B, Xã Vĩnh Chánh, Huyện Thoại Sơn, An Giang"
45,  Xe CBR 150 2022 xanh đen sơn 3D siêu đẹp,55.000.000 đ ,Honda,CBR,2022,6000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Tổ 8 ấp hiệp quyết, thị trấn định quán huyện định quán tỉnh đồng nai, Thị trấn Định Quán, Huyện Định Quán, Đồng Nai"
46,"  nhà dư con xe sh 125 chính chủ, đi ít cần bán",78.000.000 đ ,Honda,SH,2022,15000,Đã sử dụng,100 - 175 cc,Tay ga,"37A Đường An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà Nội"
47,  nhượng lại cho người đam mê,12.000.000 đ ,Yamaha,Dòng khác,2003,12345,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh"
48,  Honda sonic 2019 mới 90% bstp chính chủ,37.000.000 đ ,Honda,Sonic,2019,5,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh"
49,  MUA XE CŨ - Tận nơi - Nhanh chóng - lịch sự,123.456.789 đ ,Honda,Vision,2015,123456,Đã sử dụng,100 - 175 cc,Tay ga,"Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh"
50,  MUA XE CŨ - Tận nơi - Nhanh chóng - lịch sự,123.456.789 đ ,Honda,Vision,2015,123456,Đã sử dụng,100 - 175 cc,Tay ga,"Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh"
51,  🛵vario150 mới 99.9% odo 2.300🐅,50.500.000 đ ,Honda,Vario,2019,2300,Đã sử dụng,50 - 100 cc,Tay ga,"Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh"
52,  sprint 12/2018 bstp chính chủ mình đứng tên,55.000.000 đ ,Piaggio,Sprint,2018,12000,Đã sử dụng,100 - 175 cc,Tay ga,"Xã Tân Thông Hội, Huyện Củ Chi, Tp Hồ Chí Minh"
53,  SATRIA 2K Máy Ful 120 Mới 99% 32tr5 Hỗ Trợ Trả Góp,32.500.000 đ ,Suzuki,Sport / Xipo,2000,7,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Hẻm 65 Hoàng Văn Thụ, Phường Quảng Phú, Thành phố Quảng Ngãi, Quảng Ngãi"
54,  cần bán khu vực trảng bom đồng nai,18.000.000 đ ,Benelli,TNT,2019,200000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Cầu An Viễn, Xã An Viễn, Huyện Trảng Bom, Đồng Nai"
55,  cần ra đi minion cần tiền gấp nên bán còn fix,15.000.000 đ ,Honda,SH Mode,2023,2000,Đã sử dụng,100 - 175 cc,Tay ga,"36 Đường Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh"
56,  Yamaha Exciter 150 2016 mới 90% bstp chính chủ,23.000.000 đ ,Yamaha,Exciter,2016,5,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"523 Lũy Bán Bích, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh"
57,  Vario 2017 150 máy móc nguyên zin,59.000.000 đ ,Honda,Vario,2017,240000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ"
58,  cần bán,39.000.000 đ ,Honda,Future,2008,438159,Đã sử dụng,100 - 175 cc,Xe số,"Phường Thới Bình, Quận Ninh Kiều, Cần Thơ"
59,  Bán xe vườn 1 đời chủ chuẩn odo zin,21.000.000 đ ,Honda,Air Blade,2015,20000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường An Thạnh, Thành phố Thuận An, Bình Dương"
60,  ex 155 coo chính chu,37.500.000 đ ,Yamaha,Exciter,2022,5000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Phường Khánh Bình, Thị xã Tân Uyên, Bình Dương"
61,  SH 125 ABS Đen 2023 Mới 99%_Biển Đẹp 29D2-63683✅,88.500.000 đ ,Honda,SH,2023,1000,Đã sử dụng,50 - 100 cc,Tay ga,"Phường Cầu Dền, Quận Hai Bà Trưng, Hà Nội"
62,  Vespa Primavera 3vie Trắng 2016 Siêu Chất ✅,32.000.000 đ ,Piaggio,Primavera,2016,10000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội"
63,  Primavera iget ABS Xi Măng 2018 Siêu Mới New99%✅,45.000.000 đ ,Piaggio,Primavera,2018,5000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Ngọc Lâm, Quận Long Biên, Hà Nội"
64,  ex 155 zin chất ken  chính chủ,34.000.000 đ ,Yamaha,Exciter,2022,8000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Phường Khánh Bình, Thị xã Tân Uyên, Bình Dương"
65,  Honda wave RSX Fi 2017 mới 90% bstp chính chủ,13.500.000 đ ,Honda,Wave,2017,5,Đã sử dụng,100 - 175 cc,Xe số,"Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh"
66,  Cần bán xe an pha đỏ cờ máy đại chất bô TháiLan110,9.800.000 đ ,Honda,Wave,2006,50000,Đã sử dụng,50 - 100 cc,Xe số,"Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội"
67,  Xe côn Suzuki SaTria 150cc 2019,31.000.000 đ ,Suzuki,Satria,2019,35000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Xã Trung Hoà, Huyện Trảng Bom, Đồng Nai"
68,  Bán xe ab 2016 chính chủ trên cà vẹt xe bs 83,24.500.000 đ ,Honda,Air Blade,2016,123456,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh"
69,"  Do cần lên đời nên bán lại , còn đủ 2 chìa khoá",32.000.000 đ ,Honda,Vario,2020,200000,Đã sử dụng,100 - 175 cc,Tay ga,"334 Khu 3, Thị trấn Cái Bè, Huyện Cái Bè, Tiền Giang"
70,  không dung toi can ban,6.500.000 đ ,Yamaha,Jupiter,2007,5000,Đã sử dụng,100 - 175 cc,Xe số,"176 Đường Giáp Bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội"
71,  Cub 50,9.000.000 đ ,Honda,Cub,1986,99999,Đã sử dụng,100 - 175 cc,Xe số,"Thị trấn Trà Ôn, Huyện Trà Ôn, Vĩnh Long"
72,  Honda Vario 150 2020 mới 90% bstp chính chủ,42.000.000 đ ,Honda,Vario,2020,5,Đã sử dụng,100 - 175 cc,Tay ga,"523 Lũy Bán Bích, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh"
73,  Xe thái  máy  nguyên rin bs43 máy  thì thầm,8.900.000 đ ,Yamaha,Jupiter,2007,77,Đã sử dụng,100 - 175 cc,Xe số,"Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"
74,  Cần giao lưu ngang tầm hoặc bán.,39.000.000 đ ,Honda,Vario,2019,20000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Châu Phú A, Thành phố Châu Đốc, An Giang"
75,  XE SH 125 CBS 2021,83.000.000 đ ,Honda,SH,2021,8000,Đã sử dụng,100 - 175 cc,Tay ga,"Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội"
76,  Bán xe,15.000.000 đ ,Honda,Dream,2016,600000,Đã sử dụng,100 - 175 cc,Xe số,"Xóm lộc, Xã Yên Thành, Huyện Yên Mô, Ninh Bình"
77,  GTS Super 125 Iget Abs Màu Đỏ 12/2018,60.000.000 đ ,Piaggio,GTS,2018,8000,Đã sử dụng,100 - 175 cc,Tay ga,"15 Đường Nguyễn Biểu, Phường 1, Quận 5, Tp Hồ Chí Minh"
78,  Cần Bán Fu2 Up Full Wavei Thái Bstp,21.800.000 đ ,Honda,Future,2005,1,Đã sử dụng,100 - 175 cc,Xe số,"Phường 11, Quận 11, Tp Hồ Chí Minh"
79,  SHMODE 2014 XE ĐẸP,37.500.000 đ ,Honda,SH Mode,2014,32000,Đã sử dụng,50 - 100 cc,Tay ga,"Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh"
80,  xe côn sonic 150 2019 xanh ngọc,40.000.000 đ ,Honda,Sonic,2019,1000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Hẻm C4 Đường Bùi Thanh Khiết, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh"
81,  xe Mio Bstp ngay chủ,13.500.000 đ ,Yamaha,Mio,2012,9000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường 15, Quận Bình Thạnh, Tp Hồ Chí Minh"
82,  Vision tphcm ngay chủ,25.800.000 đ ,Honda,Vision,2018,9000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh"
83,  Virago chính chủ biển SG,38.000.000 đ ,Yamaha,Dòng khác,1999,65000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh"
84,  ❤️ Nouvo SX Fi 2014_Biển số 38,8.500.000 đ ,Yamaha,Nouvo,2014,3838,Đã sử dụng,100 - 175 cc,Tay ga,"157 Đường Đỗ Quang, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng"
85,  Honda PCX 2012 mới 90% bstp chính chủ,24.000.000 đ ,Honda,PCX,2012,5,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh"
86,  GTS Super 125 Iget Abs Màu Trắng 06/2017,57.000.000 đ ,Piaggio,GTS,2017,8000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường 2, Quận 5, Tp Hồ Chí Minh"
87,  VESPA SPRINT VÀNG SPORTY 2020,67.000.000 đ ,Piaggio,Sprint,2020,10000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh"
88,  Ab2010 Fi Bstp Máy Zin Giấy Tờ Đầy Đủ,16.300.000 đ ,Honda,Air Blade,2010,1,Đã sử dụng,100 - 175 cc,Tay ga,"Phường 11, Quận 11, Tp Hồ Chí Minh"
89,"  Max SaVi liên doanh Nhật. GT đầy đủ, máy mạnh.",2.200.000 đ ,Hãng khác,Dòng khác,2023,123,Đã sử dụng,100 - 175 cc,Xe số,"Xã Tân Thành Bình, Huyện Mỏ Cày Bắc, Bến Tre"
90,  Xe JOYRIDE -2011,6.500.000 đ ,SYM,Joyride,2011,100,Đã sử dụng,50 - 100 cc,Tay ga,"Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh"
91,  Bán xe AirBlade Đầu máy 75.,28.500.000 đ ,Honda,Air Blade,2015,1800,Đã sử dụng,100 - 175 cc,Tay ga,"121 Đường Tôn Đức Thắng, Phường Trần Nguyên Hãn, Quận Lê Chân, Hải Phòng"
92,  Bán Xe Lead 125 màu xanh dkld 2017 BSTP 1 chủ,25.000.000 đ ,Honda,Lead,2017,30000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh"
93,  Cần bán gấp,35.500.000 đ ,Honda,Vario,2019,19000,Đã sử dụng,100 - 175 cc,Tay ga,"Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh"
94,  Vario 150 Bstp ngay chủ,46.500.000 đ ,Honda,Vario,2020,8000,Đã sử dụng,100 - 175 cc,Tay ga,"123 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh"
95,  Future Fi 2015 . 9 chủ . biển số 47 . còn mới 90%,15.800.000 đ ,Honda,Future,2015,25000,Đã sử dụng,100 - 175 cc,Xe số,"Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh"
96,  Bán Honda Spacy nhật xịn,25.000.000 đ ,Honda,Spacy,2000,2345,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Cát Linh, Quận Đống Đa, Hà Nội"
97,  CHUYÊN THU MUA XE MÁY CŨ GIÁ CAO TẬN NHÀ,28.000.000 đ ,Honda,Wave,2022,1000,Đã sử dụng,100 - 175 cc,Xe số,"Phường Thảo Điền (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh"
98,  Satria 2000 mới keng,29.000.000 đ ,Suzuki,Sport / Xipo,2000,123,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"60 Giảng Võ, Phường Cát Linh, Quận Đống Đa, Hà Nội"
99,  Thanh lý xe cầm đồ,2.000.000 đ ,Honda,Wave,2012,23541,Đã sử dụng,100 - 175 cc,Xe số,"460, Ngõ 460 Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội"
100,  ban xe,11.000.000 đ ,Honda,Air Blade,2008,1234,Đã sử dụng,50 - 100 cc,Tay ga,"Phường An Phú, Thành phố Thuận An, Bình Dương"
101,  Dư dùng nên bán,13.000.000 đ ,Piaggio,Vespa,2012,100000,Đã sử dụng,100 - 175 cc,Tay ga,"Hẻm 103 Đường Trần Văn Đang, Phường 9, Quận 3, Tp Hồ Chí Minh"
102,  Cần bán em xipo zin 110,120.000.000 đ ,Suzuki,Sport / Xipo,trước năm 1980,50000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"150 nguyen huu canh phuong phu tho, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương"
103,  Suzuki Satria 2019 mới 90% bstp.chinh chủ,35.000.000 đ ,Suzuki,Satria,2019,5,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh"
104,  Sprint 125 3Vie Màu Trắng Sport 05/2014,40.000.000 đ ,Piaggio,Sprint,2014,8000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường 1, Quận 5, Tp Hồ Chí Minh"
105,  VESPA SPRINT 3VIE NÂU 2015,45.000.000 đ ,Piaggio,Sprint,2015,10000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh"
106,  Cần Bán Vision 2012 Bstp Bs Đẹp Chính Chủ,18.800.000 đ ,Honda,Vision,2012,23000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường 11, Quận 11, Tp Hồ Chí Minh"
107,  Ab 125 Bstp ngay chủ Vip,26.500.000 đ ,Honda,Air Blade,2016,9000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh"
108,  Xe mạnh,9.000.000 đ ,Piaggio,Vespa,2011,100000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường 9, Quận 3, Tp Hồ Chí Minh"
109,  Wave 50cc LD xe đẹp may thi thầm up dàng áo honda,6.500.000 đ ,Honda,Wave,2003,1234,Đã sử dụng,Dưới 50 cc,Xe số,"Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh"
110,  Bán xe wave a Honda ld màu xanh chuối,5.000.000 đ ,BMW,C400X,2012,120000,Đã sử dụng,100 - 175 cc,Xe số,"Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội"
111,  xe moi do ko còn nhu cau đi ae ai ket,12.000.000 đ ,BMW,Dòng khác,2022,100,Đã sử dụng,50 - 100 cc,Tay côn/Moto,"53/19 Tx22 Thanh Xuân Quận, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh"
112,  bán xe,7.000.000 đ ,SYM,Attila,2013,1234,Đã sử dụng,100 - 175 cc,Tay ga,"Phường An Phú, Thành phố Thuận An, Bình Dương"
113,  Xe Sirius Fi đã lên một số đồ chơi,8.500.000 đ ,Yamaha,Sirius,2015,50000,Đã sử dụng,100 - 175 cc,Xe số,"Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương"
114,  Yamaha Nouvo năm 2014 mới 90% Bstp chính chủ,12.500.000 đ ,Yamaha,Nouvo,2014,5,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh"
115,  Ab 125 cc bs tphcm ngay chủ,22.500.000 đ ,Honda,Air Blade,2013,10000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường 15, Quận Bình Thạnh, Tp Hồ Chí Minh"
116,  Bán ex biển số vip 11111,38.000.000 đ ,Yamaha,Exciter,2011,100,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Thị trấn Hóc Môn, Huyện Hóc Môn, Tp Hồ Chí Minh"
117,  VESPA SPRINT ĐEN BÓNG 2019,65.000.000 đ ,Piaggio,Sprint,2019,8000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh"
118,"  Win 127 đăng ký năm 2017,màu đỏ,tình trạng tốt",13.000.000 đ ,Hãng khác,Dòng khác,2017,11000,Đã sử dụng,Dưới 50 cc,Tay côn/Moto,"65 nguyễn đức cảnh, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"
119,  Sprint 150 3Vie Màu Đỏ Cherry 05/2015 Bs 815.16,49.000.000 đ ,Piaggio,Sprint,2015,8000,Đã sử dụng,100 - 175 cc,Tay ga,"15 Đường Nguyễn Biểu, Phường 1, Quận 5, Tp Hồ Chí Minh"
